orig_path,species,family
/networks/mangal/weighted/5200.csv,NA,NA
/networks/mangal/weighted/928.csv,NA,NA
/networks/mangal/weighted/5016.csv,NA,NA
/networks/mangal/weighted/5016.csv,NA,NA
/networks/mangal/weighted/5016.csv,NA,NA
/networks/mangal/weighted/5189.csv,NA,NA
/networks/mangal/weighted/5189.csv,NA,NA
/networks/mangal/weighted/5189.csv,NA,NA
/networks/mangal/weighted/5189.csv,NA,NA
/networks/mangal/weighted/5189.csv,NA,NA
/networks/mangal/weighted/5189.csv,NA,NA
/networks/mangal/weighted/5176.csv,NA,NA
/networks/mangal/weighted/5176.csv,delphinium_nuttallianum,NA
/networks/mangal/weighted/5176.csv,NA,NA
/networks/mangal/weighted/5176.csv,NA,NA
/networks/mangal/weighted/5176.csv,androsace_septentrionalis,NA
/networks/mangal/weighted/5162.csv,NA,NA
/networks/mangal/weighted/5162.csv,NA,NA
/networks/mangal/weighted/5162.csv,NA,NA
/networks/mangal/weighted/5162.csv,NA,NA
/networks/mangal/weighted/5162.csv,NA,NA
/networks/mangal/weighted/5162.csv,NA,NA
/networks/mangal/weighted/5163.csv,NA,NA
/networks/mangal/weighted/5163.csv,NA,NA
/networks/mangal/weighted/5163.csv,NA,NA
/networks/mangal/weighted/5163.csv,NA,NA
/networks/mangal/weighted/5163.csv,NA,NA
/networks/mangal/weighted/5163.csv,NA,NA
/networks/mangal/weighted/5163.csv,NA,NA
/networks/mangal/weighted/5177.csv,NA,NA
/networks/mangal/weighted/5177.csv,NA,NA
/networks/mangal/weighted/5177.csv,NA,NA
/networks/mangal/weighted/5177.csv,NA,NA
/networks/mangal/weighted/5177.csv,NA,NA
/networks/mangal/weighted/5188.csv,NA,NA
/networks/mangal/weighted/5188.csv,hydrophyllum_capitatum,NA
/networks/mangal/weighted/5188.csv,androsace_septentrionalis,NA
/networks/mangal/weighted/5188.csv,NA,NA
/networks/mangal/weighted/5188.csv,viola_praemorsa,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5198.csv,NA,NA
/networks/mangal/weighted/5173.csv,NA,NA
/networks/mangal/weighted/5173.csv,NA,NA
/networks/mangal/weighted/5173.csv,NA,NA
/networks/mangal/weighted/5173.csv,NA,NA
/networks/mangal/weighted/5173.csv,NA,NA
/networks/mangal/weighted/5173.csv,NA,NA
/networks/mangal/weighted/5173.csv,NA,NA
/networks/mangal/weighted/5173.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/19.csv,NA,NA
/networks/mangal/weighted/5167.csv,NA,NA
/networks/mangal/weighted/5167.csv,NA,NA
/networks/mangal/weighted/5167.csv,NA,NA
/networks/mangal/weighted/5166.csv,NA,NA
/networks/mangal/weighted/5166.csv,NA,NA
/networks/mangal/weighted/5172.csv,NA,NA
/networks/mangal/weighted/5172.csv,NA,NA
/networks/mangal/weighted/5172.csv,NA,NA
/networks/mangal/weighted/5172.csv,NA,NA
/networks/mangal/weighted/5172.csv,NA,NA
/networks/mangal/weighted/5199.csv,NA,NA
/networks/mangal/weighted/5199.csv,NA,NA
/networks/mangal/weighted/5199.csv,NA,NA
/networks/mangal/weighted/5199.csv,NA,NA
/networks/mangal/weighted/5199.csv,NA,NA
/networks/mangal/weighted/5158.csv,NA,NA
/networks/mangal/weighted/5158.csv,NA,NA
/networks/mangal/weighted/5158.csv,NA,NA
/networks/mangal/weighted/5164.csv,NA,NA
/networks/mangal/weighted/5164.csv,NA,NA
/networks/mangal/weighted/5164.csv,NA,NA
/networks/mangal/weighted/5164.csv,NA,NA
/networks/mangal/weighted/5164.csv,NA,NA
/networks/mangal/weighted/5164.csv,NA,NA
/networks/mangal/weighted/5164.csv,NA,NA
/networks/mangal/weighted/5170.csv,NA,NA
/networks/mangal/weighted/5171.csv,NA,NA
/networks/mangal/weighted/5171.csv,NA,NA
/networks/mangal/weighted/5171.csv,NA,NA
/networks/mangal/weighted/5171.csv,NA,NA
/networks/mangal/weighted/5165.csv,NA,NA
/networks/mangal/weighted/5165.csv,NA,NA
/networks/mangal/weighted/5165.csv,NA,NA
/networks/mangal/weighted/5165.csv,NA,NA
/networks/mangal/weighted/5165.csv,NA,NA
